title	query	reason
File:Food market, July 2003, Hanoi 4.jpg	Food market, July , Hanoi 4	title names no place (generic words only)
File:Food market, July 2003, Hanoi 5.jpg	Food market, July , Hanoi 5	title names no place (generic words only)
File:Food market, July 2003, Hanoi 6.jpg	Food market, July , Hanoi 6	title names no place (generic words only)
File:Food market, July 2003, Hanoi 7.jpg	Food market, July , Hanoi 7	title names no place (generic words only)
File:Food market, July 2003, Hanoi 8.jpg	Food market, July , Hanoi 8	title names no place (generic words only)
File:Food market, July 2003, Hanoi 9.jpg	Food market, July , Hanoi 9	title names no place (generic words only)
File:Food market, July 2003, Hanoi 10.jpg	Food market, July , Hanoi 10	title names no place (generic words only)
File:Food market, July 2003, Hanoi 11.jpg	Food market, July , Hanoi 11	title names no place (generic words only)
File:Food market, July 2003, Hanoi 12.jpg	Food market, July , Hanoi 12	title names no place (generic words only)
File:Food market, July 2003, Hanoi 13.jpg	Food market, July , Hanoi 13	title names no place (generic words only)
File:Food market, July 2003, Hanoi 14.jpg	Food market, July , Hanoi 14	title names no place (generic words only)
File:Food market, July 2003, Hanoi 15.jpg	Food market, July , Hanoi 15	title names no place (generic words only)
File:Food market, July 2003, Hanoi 16.jpg	Food market, July , Hanoi 16	title names no place (generic words only)
File:Food market, July 2003, Hanoi 17.jpg	Food market, July , Hanoi 17	title names no place (generic words only)
File:Food market, July 2003, Hanoi 18.jpg	Food market, July , Hanoi 18	title names no place (generic words only)
File:Food market, July 2003, Hanoi 19.jpg	Food market, July , Hanoi 19	title names no place (generic words only)
File:Food market, July 2003, Hanoi 20.jpg	Food market, July , Hanoi 20	title names no place (generic words only)
File:Food market, July 2003, Hanoi 21.jpg	Food market, July , Hanoi 21	title names no place (generic words only)
File:Food market, July 2003, Hanoi 22.jpg	Food market, July , Hanoi 22	title names no place (generic words only)
File:Food market, July 2003, Hanoi 23.jpg	Food market, July , Hanoi 23	title names no place (generic words only)
File:Food market, July 2003, Hanoi 24.jpg	Food market, July , Hanoi 24	title names no place (generic words only)
File:Food market, July 2003, Hanoi 25.jpg	Food market, July , Hanoi 25	title names no place (generic words only)
File:Food market, July 2003, Hanoi 26.jpg	Food market, July , Hanoi 26	title names no place (generic words only)
File:Food market, July 2003, Hanoi 27.jpg	Food market, July , Hanoi 27	title names no place (generic words only)
File:Food market, July 2003, Hanoi 28.jpg	Food market, July , Hanoi 28	title names no place (generic words only)
File:Food market, July 2003, Hanoi 29.jpg	Food market, July , Hanoi 29	title names no place (generic words only)
File:Food market, July 2003, Hanoi 30.jpg	Food market, July , Hanoi 30	title names no place (generic words only)
File:Food market, July 2003, Hanoi 31.jpg	Food market, July , Hanoi 31	title names no place (generic words only)
File:Food market, July 2003, Hanoi 32.jpg	Food market, July , Hanoi 32	title names no place (generic words only)
File:Food market, July 2003, Hanoi 33.jpg	Food market, July , Hanoi 33	title names no place (generic words only)
File:Animals market in Hanoi, 2003 July.jpg	Animals market in Hanoi, July	one-word title matched to a shop or restaurant
File:Animals market in Hanoi, 2003 July 2.jpg	Animals market in Hanoi, July 2	no specific feature found
File:Animals market in Hanoi, 2003 July 3.jpg	Animals market in Hanoi, July 3	no specific feature found
File:Animals market in Hanoi, 2003 July 4.jpg	Animals market in Hanoi, July 4	no specific feature found
File:Haggling on street market in Hanoi, July 2003.jpg	Haggling on street market in Hanoi, July	'haggling' is not in the hit's name 'July Beauty Care'
File:Haggling on street market in Hanoi, July 2003 2.jpg	Haggling on street market in Hanoi, July 2	no specific feature found
File:Haggling on street market in Hanoi, July 2003 3.jpg	Haggling on street market in Hanoi, July 3	no specific feature found
File:Haggling on street market in Hanoi, July 2003 4.jpg	Haggling on street market in Hanoi, July 4	no specific feature found
File:Haggling on street market in Hanoi, July 2003 5.jpg	Haggling on street market in Hanoi, July 5	no specific feature found
File:Haggling on street market in Hanoi, July 2003 6.jpg	Haggling on street market in Hanoi, July 6	no specific feature found
File:Haggling on street market in Hanoi, July 2003 7.jpg	Haggling on street market in Hanoi, July 7	no specific feature found
File:Haggling on street market in Hanoi, July 2003 8.jpg	Haggling on street market in Hanoi, July 8	no specific feature found
File:Haggling on street market in Hanoi, July 2003 9.jpg	Haggling on street market in Hanoi, July 9	no specific feature found
File:Haggling on street market in Hanoi, July 2003 11.jpg	Haggling on street market in Hanoi, July 11	no specific feature found
File:Haggling on street market in Hanoi, July 2003 12.jpg	Haggling on street market in Hanoi, July 12	'haggling' is not in the hit's name 'Spa July'
File:Haggling on street market in Hanoi, July 2003 13.jpg	Haggling on street market in Hanoi, July 13	no specific feature found
File:Haggling on street market in Hanoi, July 2003 14.jpg	Haggling on street market in Hanoi, July 14	no specific feature found
File:Haggling on street market in Hanoi, July 2003 15.jpg	Haggling on street market in Hanoi, July 15	no specific feature found
File:Haggling on street market in Hanoi, July 2003 16.jpg	Haggling on street market in Hanoi, July 16	no specific feature found
File:Haggling on street market in Hanoi, July 2003 17.jpg	Haggling on street market in Hanoi, July 17	no specific feature found
File:Haggling on street market in Hanoi, July 2003 18.jpg	Haggling on street market in Hanoi, July 18	no specific feature found
File:Street market in Hanoi, 2003 July.jpg	Street market in Hanoi, July	title names no place (generic words only)
File:Street market in Hanoi, 2003 July 2.jpg	Street market in Hanoi, July 2	no specific feature found
File:Street market in Hanoi, 2003 July 3.jpg	Street market in Hanoi, July 3	no specific feature found
File:Street market in Hanoi, 2003 July 4.jpg	Street market in Hanoi, July 4	no specific feature found
File:Street market in Hanoi, 2003 July 5.jpg	Street market in Hanoi, July 5	no specific feature found
File:Street market in Hanoi, 2003 July 6.jpg	Street market in Hanoi, July 6	no specific feature found
File:Street market in Hanoi, 2003 July 7.jpg	Street market in Hanoi, July 7	no specific feature found
File:Street market in Hanoi, 2003 July 8.jpg	Street market in Hanoi, July 8	no specific feature found
File:Street market in Hanoi, 2003 July 9.jpg	Street market in Hanoi, July 9	no specific feature found
File:Street market in Hanoi, 2003 July 10.jpg	Street market in Hanoi, July 10	no specific feature found
File:Street market in Hanoi, 2003 July 11.jpg	Street market in Hanoi, July 11	no specific feature found
File:Street market in Hanoi, 2003 July 12.jpg	Street market in Hanoi, July 12	title names no place (generic words only)
File:Street market in Hanoi, 2003 July 13.jpg	Street market in Hanoi, July 13	no specific feature found
File:Street market in Hanoi, 2003 July 17.jpg	Street market in Hanoi, July 17	no specific feature found
File:Street market in Hanoi, 2003 July 19.jpg	Street market in Hanoi, July 19	no specific feature found
File:Street market in Hanoi, 2003 July 20.jpg	Street market in Hanoi, July 20	no specific feature found
File:Street market in Hanoi, 2003 July 21.jpg	Street market in Hanoi, July 21	no specific feature found
File:Street market in Hanoi, 2003 July 22.jpg	Street market in Hanoi, July 22	no specific feature found
File:Street market in Hanoi, 2003 July 23.jpg	Street market in Hanoi, July 23	no specific feature found
File:Street market in Hanoi, 2003 July 24.jpg	Street market in Hanoi, July 24	no specific feature found
File:Street market in Hanoi, 2003 July 26.jpg	Street market in Hanoi, July 26	no specific feature found
File:Street market in Hanoi, 2003 July 27.jpg	Street market in Hanoi, July 27	no specific feature found
File:Street market in Hanoi, 2003 July 28.jpg	Street market in Hanoi, July 28	no specific feature found
File:Street market in Hanoi, 2003 July 29.jpg	Street market in Hanoi, July 29	no specific feature found
File:Street market in Hanoi, 2003 July 30.jpg	Street market in Hanoi, July 30	no specific feature found
File:Street market in Hanoi, 2003 July 31.jpg	Street market in Hanoi, July 31	no specific feature found
File:Street market in Hanoi, 2003 July 32.jpg	Street market in Hanoi, July 32	no specific feature found
File:Street market in Hanoi, 2003 July 33.jpg	Street market in Hanoi, July 33	no specific feature found
File:Street market in Hanoi, 2003 July 34.jpg	Street market in Hanoi, July 34	no specific feature found
File:Street market in Hanoi, 2003 July 36.jpg	Street market in Hanoi, July 36	no specific feature found
File:Street market in Hanoi, 2003 July 37.jpg	Street market in Hanoi, July 37	no specific feature found
File:Street market in Hanoi, 2003 July 38.jpg	Street market in Hanoi, July 38	no specific feature found
File:Street market in Hanoi, 2003 July 39.jpg	Street market in Hanoi, July 39	no specific feature found
File:Street market in Hanoi, 2003 July 40.jpg	Street market in Hanoi, July 40	no specific feature found
File:Street market in Hanoi, 2003 July 41.jpg	Street market in Hanoi, July 41	no specific feature found
File:Street market in Hanoi, 2003 July 42.jpg	Street market in Hanoi, July 42	no specific feature found
File:Street market in Hanoi, 2003 July 43.jpg	Street market in Hanoi, July 43	no specific feature found
File:Street market in Hanoi, 2003 July 44.jpg	Street market in Hanoi, July 44	no specific feature found
File:Street market in Hanoi, 2003 July 45.jpg	Street market in Hanoi, July 45	no specific feature found
File:Puginier truong.jpg	Puginier truong, Hanoi, Vietnam	'puginier' is not in the hit's name 'Quảng trường Ba Đình'
File:Pho phan dinh phung.jpg	Pho phan dinh phung, Hanoi, Vietnam	a road is not a site (highway/residential)
File:Cho hoa dem Quang An.JPG	Cho hoa dem Quang An, Hanoi, Vietnam	no specific feature found
File:Bức tường với dòng chữ cấm đái ở một góc phố Hà Nội đầu thế kỷ 20.jpg	Bức tường với dòng chữ cấm đái ở một góc phố Hà Nội đầu thế kỷ 20	no specific feature found
File:BUDDIST TEMPLE HA NOI VIETNAM FEB 2012 (7017129385).jpg	BUDDIST TEMPLE HA NOI VIETNAM FEB	no specific feature found
File:Hồ Đồng đò.jpg	Hồ Đồng đò, Hanoi, Vietnam	'do' is not in the hit's name 'The Coffee House'
File:Hồ Đồng Đò mùa xuân.jpg	Hồ Đồng Đò mùa xuân, Hanoi, Vietnam	no specific feature found
File:Bơi lội trên hồ Đồng Đò.jpg	Bơi lội trên hồ Đồng Đò, Hanoi, Vietnam	no specific feature found
File:Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-01.jpg	Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-01	no specific feature found
File:Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-02.jpg	Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-02	no specific feature found
File:Hanoi Vietnam Thang-Long-Water-Puppet-Theatre-01.jpg	Hanoi Vietnam Thang-Long-Water-Puppet-Theatre-01	no specific feature found
File:Hanoi Vietnam Temple-of-the-Jade-Mountain-01.jpg	Hanoi Vietnam Temple-of-the-Jade-Mountain-01	no specific feature found
File:Hanoi Vietnam Houses-in-Hoàn-Kiếm-District-01.jpg	Hanoi Vietnam Houses-in-Hoàn-Kiếm-District-01	no specific feature found
File:Hanoi Vietnam Ho-Chi-Minh-Museum-01.jpg	Hanoi Vietnam Ho-Chi-Minh-Museum-01	no specific feature found
File:Hanoi Vietnam Ho-Chi-Minh-Museum-02.jpg	Hanoi Vietnam Ho-Chi-Minh-Museum-02	no specific feature found
File:Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-03.jpg	Hanoi Vietnam Mausoleum-of-Ho-Chi-Minh-03	no specific feature found
File:Hanoi Vietnam Shrine-at-Hoàn-Kiếm-Lake-01.jpg	Hanoi Vietnam Shrine-at-Hoàn-Kiếm-Lake-01	no specific feature found
File:Mausolee ho chi minh.jpg	Mausolee ho chi minh, Hanoi, Vietnam	'mausolee' is not in the hit's name 'Lăng Chủ tịch Hồ Chí Minh'
File:Ho Chi Minh tomb.jpg	Ho Chi Minh tomb, Hanoi, Vietnam	no specific feature found
File:Ho chi minh mausoleum 2.jpg	Ho chi minh mausoleum 2, Hanoi, Vietnam	'mausoleum' is not in the hit's name 'Bộ Tư lệnh Lăng Chủ tịch Hồ Chí Minh'
File:Ho Chi Minh Mausoleum at night.jpg	Ho Chi Minh Mausoleum at night, Hanoi, Vietnam	no specific feature found
