pageid	title	user	date	date_kind	category
176589375	File:Buddhist-girl-pray-in-vietnam-westlake-Hanoi.jpg	pxhere	2017-03-13	taken	Category:Hanoi
177463065	File:CLD at Hanoi Convention side event.jpg	༒ Nhac Ny ༒	2025-10-26 09:42:36	taken	Category:Hanoi
188567461	File:Hanoi from the air.jpg	FrogsLegs71	2025-12-24 11:32:31	taken	Category:Hanoi
190536795	File:Newone-GreenSM VinFast Minio Green 03.jpg	Newone	2026-04-27 07:40:03	taken	Category:Hanoi
190536796	File:Newone-GreenSM VinFast Minio Green 02.jpg	Newone	2026-04-27 07:40:03	taken	Category:Hanoi
190536798	File:Newone-GreenSM VinFast Minio Green 01.jpg	Newone	2026-04-27 07:40:03	taken	Category:Hanoi
193232016	File:Công viên hồ Đền Lừ vào buổi tối.jpg	Vmosnokia31	2026-03-27 23:09:18	taken	Category:Hanoi
193245532	File:Đường Bờ Sông Sét.jpg	Vmosnokia31	2016-06-21 06:49:45	taken	Category:Hanoi
193451201	File:Cổng đền Lư Giang.jpg	Vmosnokia31	2026-06-06 09:13:27	taken	Category:Hanoi
193451202	File:Cổng chùa Hoàng Mai.jpg	Vmosnokia31	2026-06-06 09:23:40	taken	Category:Hanoi
193451203	File:Ngã ba giao phố Tân Mai và đường hồ Đền Lừ.jpg	Vmosnokia31	2026-06-06 09:07:38	taken	Category:Hanoi
193451207	File:Trường tiểu học và trường trung học cơ sở Tân Mai.jpg	Vmosnokia31	2026-06-06 09:05:35	taken	Category:Hanoi
193451208	File:Khu chung cư K35 Tân Mai.jpg	Vmosnokia31	2026-06-06 09:06:33	taken	Category:Hanoi
194766389	File:Vie12-031 Hanoi.jpg	Lusi Lindwurm	2012-12-21	taken	Category:Hanoi
197304823	File:Mr. Sikder in Hanoi, Vietnam in 2024.jpg	Ahsansikder	2024-04-30 17:33:08	taken	Category:Hanoi
197304827	File:Mr. Ahsan Ullah Sikder in Hanoi, Vietnam in 2024.jpg	Ahsansikder	2024-04-30 14:34:29	taken	Category:Hanoi
197304828	File:Ahsan Sikder in Hanoi, Vietnam in 2024.jpg	Ahsansikder	2024-04-30 17:32:52	taken	Category:Hanoi
197304829	File:Mr. Ahsan Sikder in Hanoi, Vietnam in 2024.jpg	Ahsansikder	2024-04-30 17:33:36	taken	Category:Hanoi
197304833	File:Ahsan Ullah Sikder in Hanoi, Vietnam in 2024.jpg	Ahsansikder	2024-04-30 17:34:10	taken	Category:Hanoi
197304838	File:Ahsan Sikder in Hanoi, Vietnam in 2026.jpg	Ahsansikder	2026-08-12	taken	Category:Hanoi
197442418	File:Hoa tưởng niệm nạn nhân1.jpg	Chuhai07	2026-08-14 15:34:52	taken	Category:Hanoi
2071311	File:Ha noi moi avenue.jpg	fr:Utilisateur:Chuoibk	Unknown date	taken	Category:Buildings in Hanoi
4893997	File:LongGaQuan-HaNoi-09092008187.jpg	Newone	2008-09-09	taken	Category:Buildings in Hanoi
5534378	File:Vietnam National Convention Center, Hanoi.jpg	Nam Hy Hoàng Phong	20 tháng 12, 2008	taken	Category:Buildings in Hanoi
5677227	File:Vienngonnguhoctruso.JPG	Theduong	2009-01-09T14:25:20Z	uploaded	Category:Buildings in Hanoi
6347722	File:Tòa nhà cá mập.jpg	FOSS Bridge Mario Behling	2007-11-11 02:58:59	taken	Category:Buildings in Hanoi
6856336	File:ChuaHa Dinh.JPG	Bùi Thế Tâm	2009-05-24	taken	Category:Buildings in Hanoi
7636391	File:1 copy resize.jpg	Fong210	2009-08-08	taken	Category:Buildings in Hanoi
8027960	File:Nha Tho Tham Hoa Giang Van Minh.jpg	Thiengd	2009-10-10T14:07:43Z	uploaded	Category:Buildings in Hanoi
9441587	File:Đại học Y tế Công cộng.JPG	Nguyễn Thanh Quang	2010-02-04 13:52:13	taken	Category:Buildings in Hanoi
10380623	File:Fonds Dumail 4.jpg	Alistair Morrenger	2010-05-20T10:32:06Z	uploaded	Category:Buildings in Hanoi
10775699	File:Gia Lam Workshop 1905.jpg	Unknown authorUnknown author	1935	taken	Category:Buildings in Hanoi
11919667	File:Grand Plaza Department Store 01.JPG	Daaé	2010-10-30	taken	Category:Buildings in Hanoi
11919673	File:Grand Plaza Department Store 02.JPG	Daaé	2010-10-30	taken	Category:Buildings in Hanoi
11919677	File:Big C Thăng Long, Hanoi.JPG	Daaé	2010-10-30	taken	Category:Buildings in Hanoi
11919714	File:The Garden, Hanoi 02.JPG	Daaé	2010-10-30	taken	Category:Buildings in Hanoi
11920132	File:National Cinema Centre, Hanoi 01.JPG	Daaé	2010-10-30	taken	Category:Buildings in Hanoi
11920135	File:National Cinema Centre, Hanoi 02.JPG	Daaé	2010-10-30	taken	Category:Buildings in Hanoi
14638091	File:ThoKhoi TamQuan.JPG	The original uploader was Bùi Thế Tâm at Vietnamese Wikipedia.	5 October 2009 (original upload date)	taken	Category:Buildings in Hanoi
15794639	File:CVA Cong truong.JPG	Rungbachduong	2011-07-14T18:00:40Z	uploaded	Category:Buildings in Hanoi
16915948	File:Nha co Ba Vi.JPG	Viethavvh at vi.wikipedia	18 August 2007 (original upload date)	taken	Category:Buildings in Hanoi
18918290	File:KFC Hanoi.jpg	Kontrollstellekundl	2012-01-26	taken	Category:Buildings in Hanoi
22558526	File:Tòa án Nhân dân Tối cao.JPG	Hoangkid	2012-11-04 02:45:26	taken	Category:Buildings in Hanoi
22558528	File:90 Thợ Nhuộm.JPG	Hoangkid	2012-11-04 03:16:02	taken	Category:Buildings in Hanoi
22647525	File:My Dinh National Stadium (11 November 2012).jpg	Banhtrung1	2012-11-11 12:38:43	taken	Category:Buildings in Hanoi
24717020	File:Den tho An Duong Vuong tai Co Loa.JPG	VuThiAnh	2013-02-17 14:09:12	taken	Category:Buildings in Hanoi
28861202	File:Tap Nuoc Hang Dao Hanoi Vietnam.JPG	Grossbildjaeger	2006-02-17 15:36:45	taken	Category:Buildings in Hanoi
30038420	File:Khai-tri Tien-duc.JPG	Codobai	2012-12-24	taken	Category:Buildings in Hanoi
30453912	File:Thu vien DHTM.jpg	không rõ	2014-01-03 15:39:55	taken	Category:Buildings in Hanoi
30857490	File:Hanoi hôpital militaire de dames 5117.jpg	G.Garitan	"<style data-mw-deduplicate=""TemplateStyl"	taken	Category:Buildings in Hanoi
30857492	File:Hanoi pavillon des dames pignon 5119.jpg	G.Garitan	"<style data-mw-deduplicate=""TemplateStyl"	taken	Category:Buildings in Hanoi
32410705	File:Nhà bia tiến sĩ.jpg	Bùi Thụy Đào Nguyên	2013-05-28 09:12:15	taken	Category:Buildings in Hanoi
37861506	File:Puginier.jpg	Theduong	2013-10-03 01:33:27	taken	Category:Buildings in Hanoi
45096699	File:Phoi-canh-2-ecolife-capitol.jpg	Nghiaanhvan	2015-11-19	taken	Category:Buildings in Hanoi
45096707	File:Phoi-canh-du-an-ecolife-capitol.jpg	Nghiaanhvan	2015-11-19	taken	Category:Buildings in Hanoi
46951015	File:Telegraph pole - Hanoi DSCF8678.JPG	松岡明芳	2013-07-15 10:10:03	taken	Category:Buildings in Hanoi
50061507	File:Tonkin - Hanoi - Loge Maçonnique (NYPL Hades-2359975-4044740).tiff	Scan by NYPL	1909	taken	Category:Buildings in Hanoi
50294449	File:Trung-tam-di-san-cac-nha-khoa-hoc-viet-nam.jpg	Nhudinhhoa	2015-05-30	taken	Category:Buildings in Hanoi
53043059	File:河内Trade Unio - panoramio.jpg	xjmm	24 September 2010 (original upload date)	taken	Category:Buildings in Hanoi
58074841	File:Ngân hàng HSBC, Phan Bội Châu, Hà Nội 001.JPG	Phan Minh Tuấn	2015-09-24 14:38:31	taken	Category:Buildings in Hanoi
62056897	File:Toanha ITIMS1.jpg	Vũ Tiến Lâm	2017-09-01	taken	Category:Buildings in Hanoi
63460779	File:Hanoi city center September 2017 08.jpg	Amenoc	2017-09-10 12:44:51	taken	Category:Buildings in Hanoi
63786076	File:Vietnam University of Traditional Medecine and Pharmacy - VUTM.jpg	Amenoc	2017-09-15 16:50:39	taken	Category:Buildings in Hanoi
63786084	File:Discovery building in Hanoi.jpg	Amenoc	2017-09-16 17:13:24	taken	Category:Buildings in Hanoi
71193547	File:An old lady waiting for the bus in Hanoi.jpg	CedricNN	2018-02-14	taken	Category:Buildings in Hanoi
71630372	File:24TPHanoi2.jpg	TFBombo	2018-08-15	taken	Category:Buildings in Hanoi
72587882	File:Hanoi shophouse.jpg	Sgnpkd	2018-06-27	taken	Category:Buildings in Hanoi
78105734	File:Trà Tiên Hưởng (鮮饗茶), 446 Nguyen Trai Road, Nam Tu Liem District, Hanoi, Vietnam.jpg	TaiwaneseWaveVN	2019-04-17 15:28:54	taken	Category:Buildings in Hanoi
78794186	File:Sạp báo trước cổng trụ sở Công đoàn Giáo dục Việt Nam (A newsstand in front of the office of the National Education Union of Vietnam) (02).jpg	TaiwaneseWaveVN	2019-04-23 17:10:04	taken	Category:Buildings in Hanoi
79375180	File:78 Chùa Hà.jpg	Thoithien1993	2019-06-01	taken	Category:Buildings in Hanoi
79453921	File:Cau-giay-district.jpg	solo	2017-08-21 10:51:35	taken	Category:Buildings in Hanoi
80152269	File:Anhcongty.jpg	HarmonyES	2013-05-09	taken	Category:Buildings in Hanoi
80522450	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 01 (48071368737).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 11:17	taken	Category:Buildings in Hanoi
80522455	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 02 (48071262986).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 11:22	taken	Category:Buildings in Hanoi
80522463	File:Priest Celebrates Mass - St. Joseph's Cathedral - Old Quarter - Hanoi - Vietnam (48071259031).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 11:29	taken	Category:Buildings in Hanoi
80522466	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 04 (48071308253).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 11:40	taken	Category:Buildings in Hanoi
80522488	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 05 (48071259771).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 12:37	taken	Category:Buildings in Hanoi
80522490	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 06 (48071368192).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 12:44	taken	Category:Buildings in Hanoi
80522493	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 08 (48071310713).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 16 June 2019, 13:16	taken	Category:Buildings in Hanoi
80522533	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 09 (48078513781).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 17 June 2019, 13:42	taken	Category:Buildings in Hanoi
80522540	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 10 (48078544323).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 17 June 2019, 17:54	taken	Category:Buildings in Hanoi
80522550	File:Architectural Detail - Old Quarter - Hanoi - Vietnam - 11 (48084926507).jpg	Adam Jones from Kelowna, BC, Canada	Taken on 18 June 2019, 14:30	taken	Category:Buildings in Hanoi
80873384	File:Sạp báo cạnh Bưu điện Hà Nội (A newspaper kiosk beside Hanoi Post Office, Vietnam).jpg	TaiwaneseWaveVN	2019-07-29 09:37:51	taken	Category:Buildings in Hanoi
83038140	File:Tập tin Thap267.jpg	TRần bích Trường	2019-10-12	taken	Category:Buildings in Hanoi
84801520	File:Newone - phong cảnh Hồ Tây.jpg	Newone	2019-12-04 11:33:07	taken	Category:Buildings in Hanoi
86108218	File:Toa nha HPC Landmark 105.jpg	Lê Thanh Giảng	2018-05-07 14:16:02	taken	Category:Buildings in Hanoi
88465422	File:One Pillar Pagoda Hanoi.jpg	Staffan Scherz	2013-06-09 14:08:55	taken	Category:Buildings in Hanoi
88758953	File:Bocongan.jpg	Hoangkid (thảo luận)	2012-07-18 16:40	taken	Category:Buildings in Hanoi
90810633	File:Villa-schneider-hanoi.jpg	Alex 69200 vx	2020-05-10 12:20:06	taken	Category:Buildings in Hanoi
92583129	File:Quần Ngựa Palace of Sports.jpg	Jspeed1310 at Vietnamese Wikipedia	9 March 2011 (original upload date)	taken	Category:Buildings in Hanoi
93066580	File:Newone-ĐìnhKimLiên đang sửa-HPIM2619.jpg	Newone (thảo luận)	2009-02-23	taken	Category:Buildings in Hanoi
93787278	File:Presidential Gardens - Hanoi (15683403368).jpg	Esin Üstün from Istanbul, Turkey	2014-10-31 06:04	taken	Category:Buildings in Hanoi
93959157	File:Sân vận động Quốc gia Mỹ Đình (nhìn từ công viên).jpg	vi:User:NHHP	21 tháng 12, 2008	taken	Category:Buildings in Hanoi
94089386	File:Hapro Building.JPG	Nthaison (thảo luận)	2016-05-13	taken	Category:Buildings in Hanoi
94456898	File:Hội Nhà văn Việt Nam-IMG 2499.jpg	Newone (thảo luận)	14h56, 23/11/2011	taken	Category:Buildings in Hanoi
94556819	File:Cơ sở 2 Học viện Công nghệ Thông tin Bách Khoa - Hà Nội.jpg	vi:User:Bkacad	ngày 18 tháng 9 năm 2008	taken	Category:Buildings in Hanoi
94638013	File:NewCentury-190720091340.jpg	Newone (thảo luận)	2009-07-19	taken	Category:Buildings in Hanoi
94757627	File:Trung tâm Panasonic Risupia Việt Nam.jpeg	Thành viên:Panasonic Risupia Vietnam	ngày 9 tháng 8 năm 2010	taken	Category:Buildings in Hanoi
94777005	File:KTN Tản Đà.jpeg	Duyphuong (thảo luận)	2013-05-25	taken	Category:Buildings in Hanoi
95450325	File:Go Dong Da.JPG	Bình Giang	8 tháng 10 năm 2007	taken	Category:Buildings in Hanoi
102464227	File:Newone - Nhà riêng luật sư Tường.jpeg	"""Trương Hoàng Khánh Ngọc"" Newone (thảo luận)"	2019-06-20T10:49:22Z	uploaded	Category:Buildings in Hanoi
103327674	File:BVIS Hanoi.jpg	BVIS Hanoi	2021-04-09	taken	Category:Buildings in Hanoi
105752320	File:Hanoi (2824826094).jpg	Nam-ho Park from Seoul, Korea	2008-08-28 18:09	taken	Category:Buildings in Hanoi
105752339	File:Hanoi (2824825922).jpg	Nam-ho Park from Seoul, Korea	2008-08-28 18:07	taken	Category:Buildings in Hanoi
105752397	File:Hanoi (2824826522).jpg	Nam-ho Park from Seoul, Korea	2008-08-28 18:14	taken	Category:Buildings in Hanoi
106709728	File:HanoiUniversityOfPharmacy.jpg	Đại học Dược Hà Nội	2015	taken	Category:Buildings in Hanoi
107509093	File:Viện Goethe Hà Nội.jpg	Goetheinstitut.hanoi	2019-04-03	taken	Category:Buildings in Hanoi
108846495	File:A house in Hanoi.jpg	Ltn12345	2021-08-18 18:35:14	taken	Category:Buildings in Hanoi
108979173	File:A house in Hanoi (2).jpg	Ltn12345	2021-08-20 11:27:14	taken	Category:Buildings in Hanoi
109591150	File:Ban-giao-nha-ct12-kim-van-kim-lu.jpg	nhadatvideo	2017-04-13	taken	Category:Buildings in Hanoi
109591151	File:Vinhomes-green-bay-anh-thuc-te-4.jpg	nhadatvideo	2020-06-08	taken	Category:Buildings in Hanoi
109591153	File:Gioi-thieu-chung-cu-vinhomes-royal-city.jpg	nhadatvideo	2017-06-02	taken	Category:Buildings in Hanoi
109591155	File:Toan-canh-goldmark-city-136-ho-tung-mau-1024x682.jpg	nhadatvideo	2018-11-26	taken	Category:Buildings in Hanoi
109627597	File:Temple of Literature Hanoi.jpg	Arjunullas	2020-02-23	taken	Category:Buildings in Hanoi
112306842	File:Khuê Văn Pavillion cropped.jpg	Chuoibk	2005-06-01 10:42:35	taken	Category:Buildings in Hanoi
112732782	File:Secondary view - 2.jpg	BVIS Hanoi	2021-10-25	taken	Category:Buildings in Hanoi
113047403	File:Traditional building, Hanoi 2003.jpg	Syced	"1 August 2003 (according to <span lang="""	taken	Category:Buildings in Hanoi
113976160	File:Cheoquandoi.jpg	Kien1980v	2022-01-04 15:23:05	taken	Category:Buildings in Hanoi
114892685	File:Stamp of Indonesia - 2007 - Colnect 384840 - Presdiential Palace Hanoi Vietnam.jpeg	Post of Indonesia	2007	taken	Category:Buildings in Hanoi
116026351	File:Ho-Chi-Minhs-House.jpg		2007-05-07T11:48:37Z	uploaded	Category:Buildings in Hanoi
116616747	File:Hàm Cá Mập 20220128.jpg	NXL1997	2022-01-28 18:54:19	taken	Category:Buildings in Hanoi
117043140	File:Lotte Tower Hanoi - NKS.jpg	NKSTTSSHNVN	2022-04-20	taken	Category:Buildings in Hanoi
119178919	File:Quận Hà Đông về đêm.jpg	NKSTTSSHNVN	2021-08-24	taken	Category:Buildings in Hanoi
120615191	File:Nhà cao tầng, chung cư, Hanoi.jpg	Nguyen Duc Anh	2022-06-02 18:01:05	taken	Category:Buildings in Hanoi
121398546	File:Biển chữ tại Bưu điện Hà Nội.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121399430	File:VNPT Hà Nội 2022.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121400409	File:Hanoï - Bureau des Postes.jpg	Không rõ	2022-08-04	taken	Category:Buildings in Hanoi
121400528	File:Hanoï - Hôtel des Postes.jpg	Không rõ	2022-08-04	taken	Category:Buildings in Hanoi
121400887	File:Tòa nhà Bưu điện nằm giữa phố Đinh Tiên Hoàng xưa.jpg	Le Tonkin EN 1900	2022-08-04	taken	Category:Buildings in Hanoi
121401361	File:Cột đồng hồ tòa nhà trung tâm Bưu điện Hà Nội.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403571	File:Tòa nhà Bưu điện Đinh Lễ, Hà Nội (1).jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403575	File:Bưu điện Hà Nội trên đường Đinh Tiên Hoàng.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403577	File:Cửa vào Tòa Bưu điện trung tâm nhìn từ bên ngoài.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403578	File:Cổng chính Bưu điện Thành phố Hà Nội.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403581	File:Tòa Bưu điện giáp phố Lê Thạch (1).jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403583	File:Máy bán nước tự động và hòm nhận bưu phẩm tại Bưu điện Hà Nội.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403585	File:Tòa Bưu điện giáp phố Lê Thạch (2).jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403586	File:Tòa Bưu điện giáp phố Lê Thạch (3).jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403587	File:Tòa nhà Bưu điện Đinh Lễ, Hà Nội (2).jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403593	File:Tòa Bưu điện giáp phố Lê Thạch (4).jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121403594	File:Tòa nhà Bưu điện trung tâm nhìn từ tháp Hòa Phong.jpg	Nguyenmy2302	2022-08-04	taken	Category:Buildings in Hanoi
121829408	File:Discovery Cầu Giấy.jpg	NKSTTSSHNVN	2022-08-16	taken	Category:Buildings in Hanoi
122447763	File:Lotte Tower Hanoi 2 - NKS.jpg	NKSTTSSHNVN	2022-08-29	taken	Category:Buildings in Hanoi
127165491	File:Taipei Economic and Cultural Office in Vietnam.jpg	駐越南台北經濟文化辦事處	2009-12-17	taken	Category:Buildings in Hanoi
135952127	File:Biệt thự 49 Trần Hưng Đạo, Hà Nội.jpg	Nguyenmy2302	2023-08-12	taken	Category:Buildings in Hanoi
137995525	File:001 Viện nghiên cứu năng lượng nguyên tử của Liên Xô tại Hà Nội.jpg	Đàm Thiếu Gia	2023-09-12 16:33:39	taken	Category:Buildings in Hanoi
137995684	File:002 Viện nghiên cứu năng lượng nguyên tử của Liên Xô tại Hà Nội.jpg	Đàm Thiếu Gia	2023-09-12 16:33:48	taken	Category:Buildings in Hanoi
141988967	File:VTV Tower looking from Hanoi Metro Line 3 Construction Site.jpg	TheNetheriteGuy	2023-03-07	taken	Category:Buildings in Hanoi
145245670	File:Vietnam vers 1999. Façade d'immeuble colonial.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245671	File:Vietnam vers 1999. Façade d'immeuble datant de la colonisation française.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245672	File:Vietnam vers 1999. Façade d'immeuble.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245673	File:Vietnam vers 1999. Façade d'un immeuble colonial.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245674	File:Vietnam vers 1999. Immeuble datant de la colonisation française.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245677	File:Vietnam vers 1999. Un immeuble colonial.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245678	File:Vietnam vers 1999. Un immeuble datant de la colonisation française.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245679	File:Vietnam vers 1999. Un immeuble.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145245680	File:Vietnam vers 1999. Un immeuble datant de la colonisation.jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321176	File:Vietnam 1999.Hanoi (17).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321177	File:Vietnam 1999.Hanoi (18).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321178	File:Vietnam 1999.Hanoi (19).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321179	File:Vietnam 1999.Hanoi (21).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321183	File:Vietnam 1999.Hanoi.Anciens bâtiments (12).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321186	File:Vietnam 1999.Hanoi.Anciens bâtiments (14).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321188	File:Vietnam 1999.Hanoi.Anciens bâtiments (33).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
145321190	File:Vietnam 1999.Hanoi.Anciens bâtiments (34).jpg	Rc1959	1999	taken	Category:Buildings in Hanoi
149668925	File:DenGiaoThong-3.jpg	Libx2048	2023	taken	Category:Buildings in Hanoi
159348881	File:DenGiaoThong-2.jpg	Libx2048	2023	taken	Category:Buildings in Hanoi
169318927	File:Hanoi. Pagode du Kinh Luoc.jpg	Unknown photographer	"circa 1895<div style=""display: none;"">da"	taken	Category:Buildings in Hanoi
184651650	File:Trụ sở Tạp chí Cộng sản.jpg	Inteyvat	2026-02-21 18:22:40	taken	Category:Buildings in Hanoi
184976085	File:Trụ sở UBND phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 09:39:15	taken	Category:Buildings in Hanoi
184976156	File:Trụ sở Đảng uỷ - HĐND phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 09:49:47	taken	Category:Buildings in Hanoi
184978531	File:Trụ sở 4 Công an phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 09:24:37	taken	Category:Buildings in Hanoi
184978569	File:Trụ sở 1 Công an phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 09:36:55	taken	Category:Buildings in Hanoi
184978615	File:Trụ sở 2 Công an phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 08:53:58	taken	Category:Buildings in Hanoi
184978676	File:Trụ sở 3 Công an phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 09:10:20	taken	Category:Buildings in Hanoi
184978729	File:Trụ sở 5 Công an phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-09-06 14:37:32	taken	Category:Buildings in Hanoi
184979161	File:Trung tâm phục vụ hành chính công phường Hồng Hà, Hà Nội.jpg	MINHDT2K6	2025-12-02 14:45:06	taken	Category:Buildings in Hanoi
184997332	File:Trụ sở Công an phường Hoàn Kiếm, Hà Nội.jpg	MINHDT2K6	2026-01-10 15:26:17	taken	Category:Buildings in Hanoi
184997703	File:Trụ sở Đảng uỷ - HĐND phường Cửa Nam, Hà Nội.jpg	MINHDT2K6	2026-01-10 15:15:59	taken	Category:Buildings in Hanoi
184998254	File:Trụ sở UBND phường Cửa Nam, Hà Nội.jpg	MINHDT2K6	2026-01-10 14:51:54	taken	Category:Buildings in Hanoi
184998964	File:Trung tâm phục vụ hành chính công phường Cửa Nam, Hà Nội.jpg	MINHDT2K6	2026-01-10 14:46:47	taken	Category:Buildings in Hanoi
184999139	File:Trụ sở chính Công an phường Cửa Nam, Hà Nội.jpg	MINHDT2K6	2026-01-10 14:33:11	taken	Category:Buildings in Hanoi
184999227	File:Trụ sở Công an phường Cửa Nam, Hà Nội.jpg	MINHDT2K6	2026-01-10 14:27:04	taken	Category:Buildings in Hanoi
197140971	File:Hanoi Traffic.jpg	Arnaud Matar	2018-03-26 15:37:58	taken	Category:Buildings in Hanoi
113749007	File:Hanoi Street (31986563328).jpg	Rod Waddington from Kergunyah, Australia	2018-11-13 19:46	taken	Category:Streets in Hanoi
193239010	"File:La "" rue des Tasses "", bordée de flamboyants en fleurs - A5568.jpg"	Busy Léon	May 1915	taken	Category:Streets in Hanoi
193329050	"File:Des flamboyants en fleurs, un pousse-pousse et des porteurs d'eau devant le bazar japonais "" Yamada "" dans la "" rue des Tasses "" - A6692.jpg"	Busy Léon	between 1 July 1915 and 31 August 1915<d	taken	Category:Streets in Hanoi
